year,Province,country,updated_dates,latitude,longitude,confirmed,deaths,recovered,active,incident,fatality
2021,Sindh,Pakistan,2021-01-02,26.009446,68.77680699999999,216632.0,3582.0,196134.0,16916.0,452.3906137091988,1.6534953284833265
2021,Sindh,Pakistan,2021-01-03,26.009446,68.77680699999999,217636.0,3594.0,196677.0,17365.0,454.4872576776064,1.6513812053152972
2021,Sindh,Pakistan,2021-01-04,26.009446,68.77680699999999,218597.0,3611.0,197430.0,17556.0,456.4941051413908,1.6518982419703838
2021,Sindh,Pakistan,2021-01-05,26.009446,68.77680699999999,219452.0,3623.0,197870.0,17959.0,458.27959377982535,1.6509304996081149
2021,Sindh,Pakistan,2021-01-06,26.009446,68.77680699999999,220501.0,3634.0,198577.0,18290.0,460.4702108344662,1.64806508814019
2021,Sindh,Pakistan,2021-01-07,26.009446,68.77680699999999,221734.0,3653.0,199649.0,18432.0,463.04507339726126,1.6474694904705638
2021,Sindh,Pakistan,2021-01-08,26.009446,68.77680699999999,222999.0,3670.0,202034.0,17295.0,465.6867612658225,1.6457472903465935
2021,Sindh,Pakistan,2021-01-09,26.009446,68.77680699999999,224004.0,3679.0,202570.0,17755.0,467.7854935250351,1.6423813860466778
2021,Sindh,Pakistan,2021-01-10,26.009446,68.77680699999999,225509.0,3693.0,203328.0,18488.0,470.92837118684105,1.6376286534018598
2021,Sindh,Pakistan,2021-01-11,26.009446,68.77680699999999,226338.0,3699.0,204075.0,18564.0,472.6595642643408,1.6342814728415025
2021,Sindh,Pakistan,2021-01-12,26.009446,68.77680699999999,227885.0,3708.0,206927.0,17250.0,475.8901501399645,1.6271364942843978
2021,Sindh,Pakistan,2021-01-13,26.009446,68.77680699999999,228949.0,3730.0,209239.0,15980.0,478.1120915566832,1.6291837920235512
2021,Sindh,Pakistan,2021-01-14,26.009446,68.77680699999999,230718.0,3744.0,210127.0,16847.0,481.8062779910583,1.6227602527761162
2021,Sindh,Pakistan,2021-01-15,26.009446,68.77680699999999,231953.0,3755.0,210774.0,17424.0,484.385317135464,1.6188624419602249
2021,Sindh,Pakistan,2021-01-16,26.009446,68.77680699999999,233396.0,3769.0,212266.0,17361.0,487.3987207673483,1.6148520111741418
2021,Sindh,Pakistan,2021-01-17,26.009446,68.77680699999999,234654.0,3775.0,212933.0,17946.0,490.0257906002731,1.6087516087516087
2021,Sindh,Pakistan,2021-01-18,26.009446,68.77680699999999,235576.0,3793.0,213624.0,18159.0,491.95119472265526,1.6100961048663702
2021,Sindh,Pakistan,2021-01-19,26.009446,68.77680699999999,236530.0,3813.0,214231.0,18486.0,493.9434241508033,1.6120576671035387
2021,Sindh,Pakistan,2021-01-20,26.009446,68.77680699999999,237308.0,3830.0,215101.0,18377.0,495.56811439723856,1.6139363190452911
2021,Sindh,Pakistan,2021-01-21,26.009446,68.77680699999999,238470.0,3843.0,216145.0,18482.0,497.9947083128655,1.6115234620707006
2021,Sindh,Pakistan,2021-01-22,26.009446,68.77680699999999,239186.0,3855.0,216920.0,18411.0,499.4899245293792,1.6117164048063013
2021,Sindh,Pakistan,2021-01-23,26.009446,68.77680699999999,239935.0,3875.0,217863.0,18197.0,501.0540543424639,1.6150207347823369
