iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
PAK,Asia,Pakistan,2020-03-18,454,155,62.0,2.0,2.0,0.286,2.016,0.688,0.275,0.009,0.009,0.001,2.36,242.0,0.001,0.256,3.9,tests performed,52.78,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-19,501,47,67.571,3.0,1.0,0.429,2.225,0.209,0.3,0.013,0.004,0.002,2.26,411.0,0.002,0.164,6.1,tests performed,52.78,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-20,730,229,99.857,3.0,0.0,0.429,3.242,1.017,0.443,0.013,0.0,0.002,2.18,485.0,0.002,0.206,4.9,tests performed,52.78,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-21,776,46,103.286,5.0,2.0,0.714,3.446,0.204,0.459,0.022,0.009,0.003,2.05,649.0,0.003,0.159,6.3,tests performed,55.56,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-22,875,99,105.571,6.0,1.0,0.857,3.885,0.44,0.469,0.027,0.004,0.004,1.94,659.0,0.003,0.16,6.2,tests performed,55.56,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-23,972,97,105.143,7.0,1.0,1.0,4.316,0.431,0.467,0.031,0.004,0.004,1.85,676.0,0.003,0.156,6.4,tests performed,85.19,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-24,1063,91,109.143,8.0,1.0,1.143,4.72,0.404,0.485,0.036,0.004,0.005,1.8,712.0,0.003,0.153,6.5,tests performed,93.52,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-25,1201,138,106.714,9.0,1.0,1.0,5.333,0.613,0.474,0.04,0.004,0.004,1.75,612.0,0.003,0.174,5.7,tests performed,93.52,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-26,1373,172,124.571,11.0,2.0,1.143,6.097,0.764,0.553,0.049,0.009,0.005,1.73,632.0,0.003,0.197,5.1,tests performed,96.3,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PAK,Asia,Pakistan,2020-03-27,1495,122,109.286,12.0,1.0,1.286,6.639,0.542,0.485,0.053,0.004,0.006,1.68,1319.0,0.006,0.083,12.1,tests performed,96.3,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
