Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Year
Punjab,Pakistan,2021-01-10,30.811346,72.13913199999998,144909,4260.0,130120.0,10529.0,2021
Sindh,Pakistan,2021-01-10,26.009446,68.77680699999999,225509,3693.0,203328.0,18488.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-11,34.027401,73.947253,8489,235.0,7966.0,288.0,2021
Balochistan,Pakistan,2021-01-11,28.328491999999997,65.898403,18412,188.0,17938.0,286.0,2021
Gilgit-Baltistan,Pakistan,2021-01-11,35.792146,74.982138,4880,101.0,4734.0,45.0,2021
Islamabad,Pakistan,2021-01-11,33.665087,73.121219,39242,441.0,36765.0,2036.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-11,34.485332,72.09169,61424,1740.0,56535.0,3149.0,2021
Punjab,Pakistan,2021-01-11,30.811346,72.13913199999998,145508,4272.0,130358.0,10878.0,2021
Sindh,Pakistan,2021-01-11,26.009446,68.77680699999999,226338,3699.0,204075.0,18564.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-12,34.027401,73.947253,8501,235.0,7982.0,284.0,2021
Balochistan,Pakistan,2021-01-12,28.328491999999997,65.898403,18429,188.0,17955.0,286.0,2021
Gilgit-Baltistan,Pakistan,2021-01-12,35.792146,74.982138,4882,101.0,4739.0,42.0,2021
Islamabad,Pakistan,2021-01-12,33.665087,73.121219,39340,443.0,36895.0,2002.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-12,34.485332,72.09169,61648,1743.0,56714.0,3191.0,2021
Punjab,Pakistan,2021-01-12,30.811346,72.13913199999998,146016,4299.0,130765.0,10952.0,2021
Sindh,Pakistan,2021-01-12,26.009446,68.77680699999999,227885,3708.0,206927.0,17250.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-13,34.027401,73.947253,8521,235.0,8001.0,285.0,2021
Balochistan,Pakistan,2021-01-13,28.328491999999997,65.898403,18467,188.0,17978.0,301.0,2021
Gilgit-Baltistan,Pakistan,2021-01-13,35.792146,74.982138,4882,101.0,4744.0,37.0,2021
Islamabad,Pakistan,2021-01-13,33.665087,73.121219,39462,447.0,37049.0,1966.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-13,34.485332,72.09169,62018,1748.0,57027.0,3243.0,2021
Punjab,Pakistan,2021-01-13,30.811346,72.13913199999998,146525,4323.0,130912.0,11290.0,2021
Sindh,Pakistan,2021-01-13,26.009446,68.77680699999999,228949,3730.0,209239.0,15980.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-14,34.027401,73.947253,8540,236.0,8021.0,283.0,2021
Balochistan,Pakistan,2021-01-14,28.328491999999997,65.898403,18488,188.0,18002.0,298.0,2021
Gilgit-Baltistan,Pakistan,2021-01-14,35.792146,74.982138,4882,101.0,4746.0,35.0,2021
Islamabad,Pakistan,2021-01-14,33.665087,73.121219,39624,449.0,37200.0,1975.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-14,34.485332,72.09169,62377,1752.0,57313.0,3312.0,2021
Punjab,Pakistan,2021-01-14,30.811346,72.13913199999998,147292,4348.0,131825.0,11119.0,2021
Sindh,Pakistan,2021-01-14,26.009446,68.77680699999999,230718,3744.0,210127.0,16847.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-15,34.027401,73.947253,8567,237.0,8044.0,286.0,2021
Balochistan,Pakistan,2021-01-15,28.328491999999997,65.898403,18515,189.0,18021.0,305.0,2021
Gilgit-Baltistan,Pakistan,2021-01-15,35.792146,74.982138,4882,101.0,4748.0,33.0,2021
Islamabad,Pakistan,2021-01-15,33.665087,73.121219,39749,449.0,37413.0,1887.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-15,34.485332,72.09169,62719,1762.0,57537.0,3420.0,2021
Punjab,Pakistan,2021-01-15,30.811346,72.13913199999998,147953,4370.0,132769.0,10814.0,2021
Sindh,Pakistan,2021-01-15,26.009446,68.77680699999999,231953,3755.0,210774.0,17424.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-16,34.027401,73.947253,8583,238.0,8063.0,282.0,2021
Balochistan,Pakistan,2021-01-16,28.328491999999997,65.898403,18537,190.0,18060.0,287.0,2021
Gilgit-Baltistan,Pakistan,2021-01-16,35.792146,74.982138,4882,101.0,4748.0,33.0,2021
Islamabad,Pakistan,2021-01-16,33.665087,73.121219,39888,450.0,37621.0,1817.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-16,34.485332,72.09169,62996,1773.0,57755.0,3468.0,2021
Punjab,Pakistan,2021-01-16,30.811346,72.13913199999998,148488,4387.0,133586.0,10515.0,2021
Sindh,Pakistan,2021-01-16,26.009446,68.77680699999999,233396,3769.0,212266.0,17361.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-17,34.027401,73.947253,8606,241.0,8082.0,283.0,2021
Balochistan,Pakistan,2021-01-17,28.328491999999997,65.898403,18569,190.0,18071.0,308.0,2021
Gilgit-Baltistan,Pakistan,2021-01-17,35.792146,74.982138,4882,101.0,4750.0,31.0,2021
Islamabad,Pakistan,2021-01-17,33.665087,73.121219,40019,456.0,37769.0,1794.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-17,34.485332,72.09169,63339,1779.0,58082.0,3478.0,2021
Punjab,Pakistan,2021-01-17,30.811346,72.13913199999998,149222,4409.0,133952.0,10861.0,2021
Sindh,Pakistan,2021-01-17,26.009446,68.77680699999999,234654,3775.0,212933.0,17946.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-18,34.027401,73.947253,8631,241.0,8105.0,285.0,2021
Balochistan,Pakistan,2021-01-18,28.328491999999997,65.898403,18612,190.0,18100.0,322.0,2021
Gilgit-Baltistan,Pakistan,2021-01-18,35.792146,74.982138,4884,101.0,4756.0,27.0,2021
Islamabad,Pakistan,2021-01-18,33.665087,73.121219,40111,457.0,37914.0,1740.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-18,34.485332,72.09169,63615,1783.0,58240.0,3592.0,2021
Punjab,Pakistan,2021-01-18,30.811346,72.13913199999998,149782,4432.0,134489.0,10861.0,2021
Sindh,Pakistan,2021-01-18,26.009446,68.77680699999999,235576,3793.0,213624.0,18159.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-19,34.027401,73.947253,8654,243.0,8138.0,273.0,2021
Balochistan,Pakistan,2021-01-19,28.328491999999997,65.898403,18622,190.0,18110.0,322.0,2021
Gilgit-Baltistan,Pakistan,2021-01-19,35.792146,74.982138,4887,101.0,4756.0,30.0,2021
Islamabad,Pakistan,2021-01-19,33.665087,73.121219,40177,457.0,38046.0,1674.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-19,34.485332,72.09169,63825,1791.0,58348.0,3686.0,2021
Punjab,Pakistan,2021-01-19,30.811346,72.13913199999998,150316,4460.0,134842.0,11014.0,2021
Sindh,Pakistan,2021-01-19,26.009446,68.77680699999999,236530,3813.0,214231.0,18486.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-20,34.027401,73.947253,8672,245.0,8158.0,269.0,2021
Balochistan,Pakistan,2021-01-20,28.328491999999997,65.898403,18640,191.0,18119.0,330.0,2021
Gilgit-Baltistan,Pakistan,2021-01-20,35.792146,74.982138,4892,102.0,4763.0,27.0,2021
Islamabad,Pakistan,2021-01-20,33.665087,73.121219,40304,460.0,38148.0,1696.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-20,34.485332,72.09169,64078,1799.0,58803.0,3476.0,2021
Punjab,Pakistan,2021-01-20,30.811346,72.13913199999998,150889,4476.0,135425.0,10988.0,2021
Sindh,Pakistan,2021-01-20,26.009446,68.77680699999999,237308,3830.0,215101.0,18377.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-21,34.027401,73.947253,8706,248.0,8177.0,281.0,2021
Balochistan,Pakistan,2021-01-21,28.328491999999997,65.898403,18670,192.0,18161.0,317.0,2021
Gilgit-Baltistan,Pakistan,2021-01-21,35.792146,74.982138,4894,102.0,4765.0,27.0,2021
Islamabad,Pakistan,2021-01-21,33.665087,73.121219,40430,460.0,38278.0,1692.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-21,34.485332,72.09169,64373,1811.0,59278.0,3284.0,2021
Punjab,Pakistan,2021-01-21,30.811346,72.13913199999998,151603,4501.0,135892.0,11210.0,2021
Sindh,Pakistan,2021-01-21,26.009446,68.77680699999999,238470,3843.0,216145.0,18482.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-22,34.027401,73.947253,8753,248.0,8209.0,296.0,2021
Balochistan,Pakistan,2021-01-22,28.328491999999997,65.898403,18696,192.0,18205.0,299.0,2021
Gilgit-Baltistan,Pakistan,2021-01-22,35.792146,74.982138,4899,102.0,4765.0,32.0,2021
Islamabad,Pakistan,2021-01-22,33.665087,73.121219,40548,461.0,38414.0,1673.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-22,34.485332,72.09169,64651,1823.0,59613.0,3215.0,2021
Punjab,Pakistan,2021-01-22,30.811346,72.13913199999998,152158,4523.0,136645.0,10990.0,2021
Sindh,Pakistan,2021-01-22,26.009446,68.77680699999999,239186,3855.0,216920.0,18411.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-23,34.027401,73.947253,8770,252.0,8227.0,291.0,2021
Balochistan,Pakistan,2021-01-23,28.328491999999997,65.898403,18715,192.0,18235.0,288.0,2021
Gilgit-Baltistan,Pakistan,2021-01-23,35.792146,74.982138,4899,102.0,4765.0,32.0,2021
Islamabad,Pakistan,2021-01-23,33.665087,73.121219,40629,463.0,38534.0,1632.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-23,34.485332,72.09169,64945,1826.0,59897.0,3222.0,2021
Punjab,Pakistan,2021-01-23,30.811346,72.13913199999998,152925,4537.0,136987.0,11401.0,2021
Sindh,Pakistan,2021-01-23,26.009446,68.77680699999999,239935,3875.0,217863.0,18197.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-24,34.027401,73.947253,8795,254.0,8246.0,295.0,2021
Balochistan,Pakistan,2021-01-24,28.328491999999997,65.898403,18736,193.0,18248.0,295.0,2021
Gilgit-Baltistan,Pakistan,2021-01-24,35.792146,74.982138,4901,102.0,4770.0,29.0,2021
Islamabad,Pakistan,2021-01-24,33.665087,73.121219,40713,465.0,38637.0,1611.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-24,34.485332,72.09169,65287,1832.0,60222.0,3233.0,2021
Punjab,Pakistan,2021-01-24,30.811346,72.13913199999998,153410,4561.0,137678.0,11171.0,2021
Sindh,Pakistan,2021-01-24,26.009446,68.77680699999999,240570,3888.0,218688.0,17994.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-25,34.027401,73.947253,8825,256.0,8261.0,308.0,2021
Balochistan,Pakistan,2021-01-25,28.328491999999997,65.898403,18750,193.0,18284.0,273.0,2021
Gilgit-Baltistan,Pakistan,2021-01-25,35.792146,74.982138,4902,102.0,4770.0,30.0,2021
Islamabad,Pakistan,2021-01-25,33.665087,73.121219,40815,468.0,38737.0,1610.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-25,34.485332,72.09169,65532,1839.0,60476.0,3217.0,2021
Punjab,Pakistan,2021-01-25,30.811346,72.13913199999998,154017,4568.0,138894.0,10555.0,2021
Sindh,Pakistan,2021-01-25,26.009446,68.77680699999999,241200,3892.0,219481.0,17827.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-26,34.027401,73.947253,8855,257.0,8280.0,318.0,2021
Balochistan,Pakistan,2021-01-26,28.328491999999997,65.898403,18754,193.0,18293.0,268.0,2021
Gilgit-Baltistan,Pakistan,2021-01-26,35.792146,74.982138,4902,102.0,4775.0,25.0,2021
Islamabad,Pakistan,2021-01-26,33.665087,73.121219,40892,468.0,38843.0,1581.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-26,34.485332,72.09169,65740,1848.0,60562.0,3330.0,2021
Punjab,Pakistan,2021-01-26,30.811346,72.13913199999998,154717,4608.0,139421.0,10688.0,2021
Sindh,Pakistan,2021-01-26,26.009446,68.77680699999999,242054,3900.0,219952.0,18202.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-27,34.027401,73.947253,8877,258.0,8297.0,322.0,2021
Balochistan,Pakistan,2021-01-27,28.328491999999997,65.898403,18765,193.0,18315.0,257.0,2021
Gilgit-Baltistan,Pakistan,2021-01-27,35.792146,74.982138,4903,102.0,4781.0,20.0,2021
Islamabad,Pakistan,2021-01-27,33.665087,73.121219,40972,469.0,38970.0,1533.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-27,34.485332,72.09169,65953,1857.0,60950.0,3146.0,2021
Punjab,Pakistan,2021-01-27,30.811346,72.13913199999998,155214,4646.0,139887.0,10681.0,2021
Sindh,Pakistan,2021-01-27,26.009446,68.77680699999999,242793,3925.0,221007.0,17861.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-28,34.027401,73.947253,8931,259.0,8317.0,355.0,2021
Balochistan,Pakistan,2021-01-28,28.328491999999997,65.898403,18788,193.0,18357.0,238.0,2021
Gilgit-Baltistan,Pakistan,2021-01-28,35.792146,74.982138,4906,102.0,4781.0,23.0,2021
Islamabad,Pakistan,2021-01-28,33.665087,73.121219,41076,472.0,39079.0,1525.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-28,34.485332,72.09169,66198,1870.0,61462.0,2866.0,2021
Punjab,Pakistan,2021-01-28,30.811346,72.13913199999998,155805,4661.0,140545.0,10599.0,2021
Sindh,Pakistan,2021-01-28,26.009446,68.77680699999999,243683,3957.0,222037.0,17689.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-29,34.027401,73.947253,8953,259.0,8335.0,359.0,2021
Balochistan,Pakistan,2021-01-29,28.328491999999997,65.898403,18798,194.0,18363.0,241.0,2021
Gilgit-Baltistan,Pakistan,2021-01-29,35.792146,74.982138,4909,102.0,4787.0,20.0,2021
Islamabad,Pakistan,2021-01-29,33.665087,73.121219,41176,476.0,39196.0,1504.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-29,34.485332,72.09169,66451,1879.0,61656.0,2916.0,2021
Punjab,Pakistan,2021-01-29,30.811346,72.13913199999998,156404,4681.0,141785.0,9938.0,2021
Sindh,Pakistan,2021-01-29,26.009446,68.77680699999999,244340,3969.0,222623.0,17748.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-30,34.027401,73.947253,8972,259.0,8354.0,359.0,2021
Balochistan,Pakistan,2021-01-30,28.328491999999997,65.898403,18809,195.0,18421.0,193.0,2021
Gilgit-Baltistan,Pakistan,2021-01-30,35.792146,74.982138,4908,102.0,4787.0,19.0,2021
Islamabad,Pakistan,2021-01-30,33.665087,73.121219,41255,475.0,39309.0,1471.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-30,34.485332,72.09169,66679,1890.0,61932.0,2857.0,2021
Punjab,Pakistan,2021-01-30,30.811346,72.13913199999998,156928,4716.0,141991.0,10221.0,2021
Sindh,Pakistan,2021-01-30,26.009446,68.77680699999999,245663,3986.0,223358.0,18319.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-31,34.027401,73.947253,8988,260.0,8369.0,359.0,2021
Balochistan,Pakistan,2021-01-31,28.328491999999997,65.898403,18815,195.0,18429.0,191.0,2021
Gilgit-Baltistan,Pakistan,2021-01-31,35.792146,74.982138,4908,102.0,4787.0,19.0,2021
Islamabad,Pakistan,2021-01-31,33.665087,73.121219,41359,475.0,39439.0,1445.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-31,34.485332,72.09169,66953,1897.0,62198.0,2858.0,2021
Punjab,Pakistan,2021-01-31,30.811346,72.13913199999998,157353,4736.0,142651.0,9966.0,2021
Sindh,Pakistan,2021-01-31,26.009446,68.77680699999999,246437,3992.0,224101.0,18344.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-01,34.027401,73.947253,9019,262.0,8386.0,371.0,2021
Balochistan,Pakistan,2021-02-01,28.328491999999997,65.898403,18823,195.0,18479.0,149.0,2021
Gilgit-Baltistan,Pakistan,2021-02-01,35.792146,74.982138,4909,102.0,4787.0,20.0,2021
Islamabad,Pakistan,2021-02-01,33.665087,73.121219,41418,475.0,39562.0,1381.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-01,34.485332,72.09169,67214,1906.0,62385.0,2923.0,2021
Punjab,Pakistan,2021-02-01,30.811346,72.13913199999998,157796,4747.0,142989.0,10060.0,2021
Sindh,Pakistan,2021-02-01,26.009446,68.77680699999999,247249,3996.0,224664.0,18589.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-02,34.027401,73.947253,9050,264.0,8404.0,382.0,2021
Balochistan,Pakistan,2021-02-02,28.328491999999997,65.898403,18830,196.0,18497.0,137.0,2021
Gilgit-Baltistan,Pakistan,2021-02-02,35.792146,74.982138,4909,102.0,4788.0,19.0,2021
Islamabad,Pakistan,2021-02-02,33.665087,73.121219,41493,475.0,39676.0,1342.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-02,34.485332,72.09169,67419,1912.0,62537.0,2970.0,2021
Punjab,Pakistan,2021-02-02,30.811346,72.13913199999998,158220,4793.0,143652.0,9775.0,2021
Sindh,Pakistan,2021-02-02,26.009446,68.77680699999999,247727,4004.0,224983.0,18740.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-03,34.027401,73.947253,9073,267.0,8426.0,380.0,2021
Balochistan,Pakistan,2021-02-03,28.328491999999997,65.898403,18836,196.0,18516.0,124.0,2021
Gilgit-Baltistan,Pakistan,2021-02-03,35.792146,74.982138,4910,102.0,4793.0,15.0,2021
Islamabad,Pakistan,2021-02-03,33.665087,73.121219,41561,475.0,39777.0,1309.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-03,34.485332,72.09169,67589,1923.0,63029.0,2637.0,2021
Punjab,Pakistan,2021-02-03,30.811346,72.13913199999998,158793,4806.0,144208.0,9779.0,2021
Sindh,Pakistan,2021-02-03,26.009446,68.77680699999999,248270,4033.0,225297.0,18940.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-04,34.027401,73.947253,9100,269.0,8445.0,386.0,2021
Balochistan,Pakistan,2021-02-04,28.328491999999997,65.898403,18840,196.0,18536.0,108.0,2021
Gilgit-Baltistan,Pakistan,2021-02-04,35.792146,74.982138,4912,102.0,4794.0,16.0,2021
Islamabad,Pakistan,2021-02-04,33.665087,73.121219,41655,478.0,39871.0,1306.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-04,34.485332,72.09169,67803,1931.0,63234.0,2638.0,2021
Punjab,Pakistan,2021-02-04,30.811346,72.13913199999998,159311,4821.0,144921.0,9569.0,2021
Sindh,Pakistan,2021-02-04,26.009446,68.77680699999999,248919,4036.0,226017.0,18866.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-05,34.027401,73.947253,9144,270.0,8469.0,405.0,2021
Balochistan,Pakistan,2021-02-05,28.328491999999997,65.898403,18844,196.0,18547.0,101.0,2021
Gilgit-Baltistan,Pakistan,2021-02-05,35.792146,74.982138,4913,102.0,4794.0,17.0,2021
Islamabad,Pakistan,2021-02-05,33.665087,73.121219,41734,478.0,39987.0,1269.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-05,34.485332,72.09169,68004,1941.0,63610.0,2453.0,2021
Punjab,Pakistan,2021-02-05,30.811346,72.13913199999998,159705,4840.0,145681.0,9184.0,2021
Sindh,Pakistan,2021-02-05,26.009446,68.77680699999999,249498,4059.0,226414.0,19025.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-06,34.027401,73.947253,9160,270.0,8488.0,402.0,2021
Balochistan,Pakistan,2021-02-06,28.328491999999997,65.898403,18849,196.0,18558.0,95.0,2021
Gilgit-Baltistan,Pakistan,2021-02-06,35.792146,74.982138,4915,102.0,4794.0,19.0,2021
Islamabad,Pakistan,2021-02-06,33.665087,73.121219,41819,478.0,40074.0,1267.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-06,34.485332,72.09169,68180,1948.0,63799.0,2433.0,2021
Punjab,Pakistan,2021-02-06,30.811346,72.13913199999998,160162,4854.0,146235.0,9073.0,2021
Sindh,Pakistan,2021-02-06,26.009446,68.77680699999999,250043,4066.0,226752.0,19225.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-07,34.027401,73.947253,9199,272.0,8511.0,416.0,2021
Balochistan,Pakistan,2021-02-07,28.328491999999997,65.898403,18859,196.0,18560.0,103.0,2021
Gilgit-Baltistan,Pakistan,2021-02-07,35.792146,74.982138,4916,102.0,4795.0,19.0,2021
Islamabad,Pakistan,2021-02-07,33.665087,73.121219,41934,478.0,40160.0,1296.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-02-07,34.485332,72.09169,68338,1952.0,63953.0,2433.0,2021
Punjab,Pakistan,2021-02-07,30.811346,72.13913199999998,160580,4880.0,147115.0,8585.0,2021
Sindh,Pakistan,2021-02-07,26.009446,68.77680699999999,250648,4087.0,227148.0,19413.0,2021
Azad Jammu and Kashmir,Pakistan,2021-02-08,34.027401,73.947253,9219,272.0,8530.0,417.0,2021
