Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Year
Azad Jammu and Kashmir,Pakistan,2021-01-02,34.027401,73.947253,8303,224.0,7691.0,388.0,2021
Balochistan,Pakistan,2021-01-02,28.328491999999997,65.898403,18181,184.0,17752.0,245.0,2021
Gilgit-Baltistan,Pakistan,2021-01-02,35.792146,74.982138,4862,101.0,4713.0,48.0,2021
Islamabad,Pakistan,2021-01-02,33.665087,73.121219,38020,421.0,34617.0,2982.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-02,34.485332,72.09169,59023,1661.0,53942.0,3420.0,2021
Punjab,Pakistan,2021-01-02,30.811346,72.13913199999998,139341,4085.0,124125.0,11131.0,2021
Sindh,Pakistan,2021-01-02,26.009446,68.77680699999999,216632,3582.0,196134.0,16916.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-03,34.027401,73.947253,8325,226.0,7723.0,376.0,2021
Balochistan,Pakistan,2021-01-03,28.328491999999997,65.898403,18218,185.0,17760.0,273.0,2021
Gilgit-Baltistan,Pakistan,2021-01-03,35.792146,74.982138,4866,101.0,4716.0,49.0,2021
Islamabad,Pakistan,2021-01-03,33.665087,73.121219,38146,424.0,34940.0,2782.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-03,34.485332,72.09169,59255,1672.0,54383.0,3200.0,2021
Punjab,Pakistan,2021-01-03,30.811346,72.13913199999998,140188,4109.0,124461.0,11618.0,2021
Sindh,Pakistan,2021-01-03,26.009446,68.77680699999999,217636,3594.0,196677.0,17365.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-04,34.027401,73.947253,8357,226.0,7758.0,373.0,2021
Balochistan,Pakistan,2021-01-04,28.328491999999997,65.898403,18247,185.0,17812.0,250.0,2021
Gilgit-Baltistan,Pakistan,2021-01-04,35.792146,74.982138,4867,101.0,4716.0,50.0,2021
Islamabad,Pakistan,2021-01-04,33.665087,73.121219,38263,428.0,35093.0,2742.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-04,34.485332,72.09169,59484,1675.0,54519.0,3290.0,2021
Punjab,Pakistan,2021-01-04,30.811346,72.13913199999998,140714,4124.0,125129.0,11461.0,2021
Sindh,Pakistan,2021-01-04,26.009446,68.77680699999999,218597,3611.0,197430.0,17556.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-05,34.027401,73.947253,8383,229.0,7798.0,356.0,2021
Balochistan,Pakistan,2021-01-05,28.328491999999997,65.898403,18254,185.0,17829.0,240.0,2021
Gilgit-Baltistan,Pakistan,2021-01-05,35.792146,74.982138,4870,101.0,4717.0,52.0,2021
Islamabad,Pakistan,2021-01-05,33.665087,73.121219,38395,428.0,35253.0,2714.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-05,34.485332,72.09169,59729,1683.0,54668.0,3378.0,2021
Punjab,Pakistan,2021-01-05,30.811346,72.13913199999998,141393,4160.0,126225.0,11008.0,2021
Sindh,Pakistan,2021-01-05,26.009446,68.77680699999999,219452,3623.0,197870.0,17959.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-06,34.027401,73.947253,8396,229.0,7833.0,334.0,2021
Balochistan,Pakistan,2021-01-06,28.328491999999997,65.898403,18280,186.0,17857.0,237.0,2021
Gilgit-Baltistan,Pakistan,2021-01-06,35.792146,74.982138,4873,101.0,4717.0,55.0,2021
Islamabad,Pakistan,2021-01-06,33.665087,73.121219,38531,432.0,35609.0,2490.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-06,34.485332,72.09169,59955,1695.0,55025.0,3235.0,2021
Punjab,Pakistan,2021-01-06,30.811346,72.13913199999998,142058,4184.0,128775.0,9099.0,2021
Sindh,Pakistan,2021-01-06,26.009446,68.77680699999999,220501,3634.0,198577.0,18290.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-07,34.027401,73.947253,8416,232.0,7871.0,313.0,2021
Balochistan,Pakistan,2021-01-07,28.328491999999997,65.898403,18300,186.0,17883.0,231.0,2021
Gilgit-Baltistan,Pakistan,2021-01-07,35.792146,74.982138,4874,101.0,4722.0,51.0,2021
Islamabad,Pakistan,2021-01-07,33.665087,73.121219,38687,434.0,35916.0,2337.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-07,34.485332,72.09169,60229,1702.0,55372.0,3155.0,2021
Punjab,Pakistan,2021-01-07,30.811346,72.13913199999998,142835,4203.0,129102.0,9530.0,2021
Sindh,Pakistan,2021-01-07,26.009446,68.77680699999999,221734,3653.0,199649.0,18432.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-08,34.027401,73.947253,8430,234.0,7894.0,302.0,2021
Balochistan,Pakistan,2021-01-08,28.328491999999997,65.898403,18314,186.0,17893.0,235.0,2021
Gilgit-Baltistan,Pakistan,2021-01-08,35.792146,74.982138,4878,101.0,4727.0,50.0,2021
Islamabad,Pakistan,2021-01-08,33.665087,73.121219,38842,436.0,36231.0,2175.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-08,34.485332,72.09169,60536,1710.0,55728.0,3098.0,2021
Punjab,Pakistan,2021-01-08,30.811346,72.13913199999998,143511,4221.0,129321.0,9969.0,2021
Sindh,Pakistan,2021-01-08,26.009446,68.77680699999999,222999,3670.0,202034.0,17295.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-09,34.027401,73.947253,8451,235.0,7923.0,293.0,2021
Balochistan,Pakistan,2021-01-09,28.328491999999997,65.898403,18351,187.0,17898.0,266.0,2021
Gilgit-Baltistan,Pakistan,2021-01-09,35.792146,74.982138,4879,101.0,4728.0,50.0,2021
Islamabad,Pakistan,2021-01-09,33.665087,73.121219,38970,436.0,36546.0,1988.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-09,34.485332,72.09169,60751,1718.0,55928.0,3105.0,2021
Punjab,Pakistan,2021-01-09,30.811346,72.13913199999998,144111,4242.0,129852.0,10017.0,2021
Sindh,Pakistan,2021-01-09,26.009446,68.77680699999999,224004,3679.0,202570.0,17755.0,2021
Azad Jammu and Kashmir,Pakistan,2021-01-10,34.027401,73.947253,8478,235.0,7949.0,294.0,2021
Balochistan,Pakistan,2021-01-10,28.328491999999997,65.898403,18373,188.0,17899.0,286.0,2021
Gilgit-Baltistan,Pakistan,2021-01-10,35.792146,74.982138,4879,101.0,4729.0,49.0,2021
Islamabad,Pakistan,2021-01-10,33.665087,73.121219,39120,439.0,36705.0,1976.0,2021
Khyber Pakhtunkhwa,Pakistan,2021-01-10,34.485332,72.09169,61148,1728.0,56239.0,3181.0,2021
