,Year,CPI Value,Country Name,Country Code,Indicator Name,Indicator Code
0,1960,6.9473684210528495,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
1,1961,1.6404199475060501,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
2,1962,-0.516462233698508,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
3,1963,1.4564884479750002,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
4,1964,4.17958688145319,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
5,1965,5.56863547936376,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
6,1966,7.22762159787732,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
7,1967,6.811399634286901,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
8,1968,0.17062734843807903,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
9,1969,3.18698679573689,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
10,1970,5.34984090983015,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
11,1971,4.73069148232274,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
12,1972,5.18323764549141,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
13,1973,23.0700840250844,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
14,1974,26.663034853748805,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
15,1975,20.9045094573998,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
16,1976,7.158323731184679,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
17,1977,10.1329676874054,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
18,1978,6.13869266742742,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
19,1979,8.26704697617572,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
20,1980,11.938230910708699,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
21,1981,11.8799135925283,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
22,1982,5.903528784358571,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
23,1983,6.3620334998529895,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
24,1984,6.08716673573719,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
25,1985,5.6148392179322,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
26,1986,3.50641424758203,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
27,1987,4.68121854620214,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
28,1988,8.83793701817778,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
29,1989,7.844264737400381,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
30,1990,9.0521315527978,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
31,1991,11.791270335141599,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
32,1992,9.509041461901461,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
33,1993,9.973664760292099,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
34,1994,12.368194393694802,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
35,1995,12.3435785170513,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
36,1996,10.3738085885002,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
37,1997,11.375492886512198,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
38,1998,6.228004154245469,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
39,1999,4.142637180821681,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
40,2000,4.36666451291681,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
41,2001,3.1482614459061598,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
42,2002,3.2903447261315604,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
43,2003,2.9141347005947704,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
44,2004,7.4446246934273805,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
45,2005,9.063327370304199,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
46,2006,7.92108440058788,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
47,2007,7.598684410507751,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
48,2008,20.286121092955398,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
49,2009,13.647765063976099,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
50,2010,12.938870563489,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
51,2011,11.9160927116277,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
52,2012,9.6823518605568,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
53,2013,7.6921561189957,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
54,2014,7.189384028470251,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
55,2015,2.5293281725422596,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
56,2016,3.7651191635658403,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
57,2017,4.08537368032604,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
58,2018,5.07805725868917,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
59,2019,10.5783618004555,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
60,2020,9.73999313898131,Pakistan,PAK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG
